"year","total_pop","sg_resi","census"
"1871 ","97111",NA,"Yes"
"1881 ","137755",NA,"Yes"
"1891 ","181612",NA,"Yes"
"1901 ","227592",NA,"Yes"
"1911 ","303321",NA,"Yes"
"1921 ","418358",NA,"Yes"
"1931 ","557745",NA,"Yes"
"1947 ","938144",NA,"Yes"
"1957 ","1445929",NA,"Yes"
"1958","1518800",NA,"No"
"1959","1587200",NA,"No"
"1960","1646400",NA,"No"
"1961","1702400",NA,"No"
"1962","1750200",NA,"No"
"1963","1795000",NA,"No"
"1964","1841600",NA,"No"
"1965","1886900",NA,"No"
"1966","1934400",NA,"No"
"1967","1977600",NA,"No"
"1968","2012000",NA,"No"
"1969","2042500",NA,"No"
"1970 ","2074507","2013563","Yes"
"1971","2112900",NA,"No"
"1972","2152400",NA,"No"
"1973","2193000",NA,"No"
"1974","2229800",NA,"No"
"1975","2262600",NA,"No"
"1976","2293300",NA,"No"
"1977","2325300",NA,"No"
"1978","2353600",NA,"No"
"1979","2383500",NA,"No"
"1980 ","2413945","2282125","Yes"
"1981","2532835","2324403","No"
"1982","2646466","2365707","No"
"1983","2681061","2406165","No"
"1984","2732221","2443705","No"
"1985","2735957","2482615","No"
"1986","2733373","2518598","No"
"1987","2774789","2553864","No"
"1988","2846108","2598458","No"
"1989","2930901","2647627","No"
"1990 ","3047132","2735868","Yes"
"1991","3135083","2794704","No"
"1992","3230698","2849754","No"
"1993","3313471","2904547","No"
"1994","3419048","2959350","No"
"1995","3524506","3013515","No"
"1996","3670704","3068132","No"
"1997","3796038","3123403","No"
"1998","3927213","3180018","No"
"1999","3958723","3229681","No"
"2000 ","4027887","3273363","Yes"
"2001","4138012","3325902","No"
"2002","4175950","3382944","No"
"2003","4114826","3366891","No"
"2004","4166664","3413266","No"
"2005","4265762","3467814","No"
"2006","4401365","3525894","No"
"2007","4588599","3583082","No"
"2008","4839396","3642659","No"
"2009","4987573","3733876","No"
"2010 ","5076732","3771721","Yes"
"2011","5183688","3789251","No"
"2012","5312437","3818205","No"
"2013","5399162","3844751","No"
"2014","5469724","3870739","No"
"2015","5535002","3902690","No"
